,distBF,distRA,distSeaTac
38,70969.58117046765,60179.828796251415,40093.49087398487
39,30099.07207079224,16277.371676168214,42656.409901340245
40,74784.04826875584,64469.10444984493,91137.16840624143
41,32340.792037916286,36698.512491014306,12605.629499669274
42,90740.66924342749,85704.94015726645,111906.60562514426
43,44018.88538497042,65195.79956345747,74039.09006904621
44,42755.46595537999,19218.151623613423,30018.637427185837
45,112367.62935179463,109063.80598710327,135021.24162301532
46,82626.58600351629,78006.33222774361,53306.61751066865
47,49923.16780857221,48869.49103650447,73464.8495695468
48,55226.886586676184,71181.8310621439,86094.13749919858
49,58404.21884478974,66447.66979067156,40962.63231516488
50,37684.42019894835,35786.74611878728,9123.925716098267
51,30631.353941842957,6824.889632823266,32119.933354629226
52,59243.01031025321,79996.37761650639,89203.59829185145
53,64435.14763679051,83993.89828348612,94848.66316642385
54,47298.36003916985,61933.62432753295,77967.39167024387
55,48055.767612813346,63448.90109962675,78840.97557369818
56,75145.43891541961,52733.12767104303,53183.85652922426
57,73937.71732505567,51808.58350489623,51514.80560718084
58,50798.9735662809,42641.08369106151,68957.34092782269
59,38624.67198819942,17360.10666578929,42893.531471473514
60,35711.78768463602,37231.19804234309,11225.947622465079
61,34406.191162816016,35790.42903359147,9959.493355903309
62,32851.99874078598,36445.22088654879,11856.765482132932
63,54281.75108223731,71634.78624317606,85159.53031797236
64,30335.552394376173,47500.600560331164,61171.90805754139
65,16970.45700607344,36800.57265283978,47860.70295520331
66,33363.519119564044,32848.907508735465,56498.365366348844
67,70330.15127195208,57487.673343351045,39788.24363457203
68,76962.77887063191,54553.22283376952,54842.92636507022
69,42965.41367580504,50084.43106123228,70987.54190884338
